,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,X_res,Y_res,ppi,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5,8,128GB SSD,Intel Iris,mac OS,1.37,119112,2560,1600,226.98,1,0,0,128,0,0
1,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD,mac OS,1.34,79925,1440,900,127.68,0,0,0,0,0,128
2,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,No OS,1.86,51123,1920,1080,141.21,0,0,0,256,0,0
4,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,160358,2560,1600,226.98,1,0,0,256,0,0
5,Acer,Notebook,15.6,1366x768,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,35564,1366,768,100.45,0,0,500,0,0,0
7,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD,mac OS,1.34,103020,1440,900,127.68,0,0,0,0,0,256
8,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.3,132920,1920,1080,157.35,0,0,0,512,0,0
9,Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,68461,1920,1080,157.35,1,0,0,256,0,0
10,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,No OS,1.86,35022,1366,768,100.45,0,0,500,0,0,0
11,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,30673,1920,1080,141.21,0,0,500,0,0,0
13,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Windows 10,2.2,44357,1920,1080,141.21,0,0,0,256,0,0
15,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,135014,2560,1600,226.98,1,0,0,256,0,0
16,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,66238,1920,1080,141.21,0,0,0,256,0,0
